Time,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip,irr_PH,irr_EC,irr_NH4,irr_K,irr_Na,irr_Ca,irr_Mg,irr_Si,irr_NO3,irr_Cl,irr_SO4,irr_HCO3,irr_PO4,irr_Fe,irr_Mn,irr_Zn,irr_B,irr_Cu,irr_Mo,drain_PH,drain_EC,drain_NH4,drain_K,drain_Na,drain_Ca,drain_Mg,drain_Si,drain_NO3,drain_Cl,drain_SO4,drain_HCO3,drain_PO4,drain_Fe,drain_Mn,drain_Zn,drain_B,drain_Cu,drain_Mo,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain,Evapotranspiration,EC_Total
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,6.0,3.7,0.09,12.9,0.3,7.6,3.9,0.009,12.2,6.0,6.8,0.3,3.13,30.0,51.0,6.2,67,1.1,1.0,5.6,4.7,0.09,14.2,0.7,11.2,6.4,0.27,10.9,9.2,12.3,0.09,4.8,31.0,33.0,10.0,116,1.5,2.3,1.5717,1.462,0.816,0.052921667,5.5146,1.81,35.93039200790498,2.157367714793457
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,6.0,3.7,0.09,12.9,0.3,7.6,3.9,0.009,12.2,6.0,6.8,0.3,3.13,30.0,51.0,6.2,67,1.1,1.0,5.6,4.7,0.09,14.2,0.7,11.2,6.4,0.27,10.9,9.2,12.3,0.09,4.8,31.0,33.0,10.0,116,1.5,2.3,2.04,1.5,0.9,0.0682075,5.7,3.0,30.36165027862511,1.2263157894736842
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,6.0,3.7,0.09,12.9,0.3,7.6,3.9,0.009,12.2,6.0,6.8,0.3,3.13,30.0,51.0,6.2,67,1.1,1.0,5.6,4.7,0.09,14.2,0.7,11.2,6.4,0.27,10.9,9.2,12.3,0.09,4.8,31.0,33.0,10.0,116,1.5,2.3,2.03,1.6,0.9,0.109,4.32,0.62,45.22082667353543,3.0254629629629632
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.4,4.5,1.0,14.8,0.4,10.8,4.7,0.009,19.2,6.1,8.9,0.2,2.79,16.0,11.0,5.1,32,0.7,0.5,5.2,9.6,0.1,29.4,1.4,28.5,17.1,0.76,41.4,18.5,26.2,0.09,5.46,18.0,6.8,18.0,68,1.0,0.6,0.8205,1.53725,0.7865,0.0823125,3.4,1.2,40.025719762165544,1.111764705882353
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.4,4.5,1.0,14.8,0.4,10.8,4.7,0.009,19.2,6.1,8.9,0.2,2.79,16.0,11.0,5.1,32,0.7,0.5,5.2,9.6,0.1,29.4,1.4,28.5,17.1,0.76,41.4,18.5,26.2,0.09,5.46,18.0,6.8,18.0,68,1.0,0.6,0.6645,1.1,0.952,0.054983333,5.72,2.75,31.33832339324074,-0.11538461538461497
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.4,4.5,1.0,14.8,0.4,10.8,4.7,0.009,19.2,6.1,8.9,0.2,2.79,16.0,11.0,5.1,32,0.7,0.5,5.2,9.6,0.1,29.4,1.4,28.5,17.1,0.76,41.4,18.5,26.2,0.09,5.46,18.0,6.8,18.0,68,1.0,0.6,0.7458,1.82325,0.9955,0.07012,3.3813,0.39,47.78189066145766,3.3927335640138407
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.4,4.5,1.0,14.8,0.4,10.8,4.7,0.009,19.2,6.1,8.9,0.2,2.79,16.0,11.0,5.1,32,0.7,0.5,5.2,9.6,0.1,29.4,1.4,28.5,17.1,0.76,41.4,18.5,26.2,0.09,5.46,18.0,6.8,18.0,68,1.0,0.6,1.5717,1.462,0.816,0.052921667,5.5146,1.81,35.93039200790498,1.3490915025568486
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.4,4.5,1.0,14.8,0.4,10.8,4.7,0.009,19.2,6.1,8.9,0.2,2.79,16.0,11.0,5.1,32,0.7,0.5,5.2,9.6,0.1,29.4,1.4,28.5,17.1,0.76,41.4,18.5,26.2,0.09,5.46,18.0,6.8,18.0,68,1.0,0.6,2.04,1.5,0.9,0.0682075,5.7,3.0,30.36165027862511,-0.5526315789473681
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.4,4.5,1.0,14.8,0.4,10.8,4.7,0.009,19.2,6.1,8.9,0.2,2.79,16.0,11.0,5.1,32,0.7,0.5,5.2,9.6,0.1,29.4,1.4,28.5,17.1,0.76,41.4,18.5,26.2,0.09,5.46,18.0,6.8,18.0,68,1.0,0.6,2.03,1.6,0.9,0.109,4.32,0.62,45.22082667353543,3.1222222222222222
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.3,3.5,1.4,9.9,0.3,8.4,2.7,0.009,18.8,2.3,4.0,0.09,3.41,28.0,25.0,2.7,60,0.7,0.4,4.7,4.7,0.2,8.6,0.6,13.8,5.4,0.53,26.5,2.3,7.1,0.2,4.97,38.0,20.0,5.1,107,0.8,0.3,0.8205,1.53725,0.7865,0.0823125,3.4,1.2,40.025719762165544,1.8411764705882352
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.3,3.5,1.4,9.9,0.3,8.4,2.7,0.009,18.8,2.3,4.0,0.09,3.41,28.0,25.0,2.7,60,0.7,0.4,4.7,4.7,0.2,8.6,0.6,13.8,5.4,0.53,26.5,2.3,7.1,0.2,4.97,38.0,20.0,5.1,107,0.8,0.3,0.6645,1.1,0.952,0.054983333,5.72,2.75,31.33832339324074,1.2403846153846154
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.3,3.5,1.4,9.9,0.3,8.4,2.7,0.009,18.8,2.3,4.0,0.09,3.41,28.0,25.0,2.7,60,0.7,0.4,4.7,4.7,0.2,8.6,0.6,13.8,5.4,0.53,26.5,2.3,7.1,0.2,4.97,38.0,20.0,5.1,107,0.8,0.3,0.7458,1.82325,0.9955,0.07012,3.3813,0.39,47.78189066145766,2.957900807381776
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.3,3.5,1.4,9.9,0.3,8.4,2.7,0.009,18.8,2.3,4.0,0.09,3.41,28.0,25.0,2.7,60,0.7,0.4,4.7,4.7,0.2,8.6,0.6,13.8,5.4,0.53,26.5,2.3,7.1,0.2,4.97,38.0,20.0,5.1,107,0.8,0.3,1.5717,1.462,0.816,0.052921667,5.5146,1.81,35.93039200790498,1.9573677147934572
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.3,3.5,1.4,9.9,0.3,8.4,2.7,0.009,18.8,2.3,4.0,0.09,3.41,28.0,25.0,2.7,60,0.7,0.4,4.7,4.7,0.2,8.6,0.6,13.8,5.4,0.53,26.5,2.3,7.1,0.2,4.97,38.0,20.0,5.1,107,0.8,0.3,2.04,1.5,0.9,0.0682075,5.7,3.0,30.36165027862511,1.026315789473684
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.3,3.5,1.4,9.9,0.3,8.4,2.7,0.009,18.8,2.3,4.0,0.09,3.41,28.0,25.0,2.7,60,0.7,0.4,4.7,4.7,0.2,8.6,0.6,13.8,5.4,0.53,26.5,2.3,7.1,0.2,4.97,38.0,20.0,5.1,107,0.8,0.3,2.03,1.6,0.9,0.109,4.32,0.62,45.22082667353543,2.825462962962963
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.7,3.9,0.5,15.9,0.4,7.3,2.6,0.009,16.2,5.0,5.8,0.3,2.22,33.0,16.0,6.0,38,0.8,0.4,5.4,4.7,0.09,18.1,0.5,9.0,4.2,0.12,18.9,6.7,8.3,0.09,2.48,32.0,8.3,8.4,48,0.9,0.7,0.8205,1.53725,0.7865,0.0823125,3.4,1.2,40.025719762165544,2.2411764705882353
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.7,3.9,0.5,15.9,0.4,7.3,2.6,0.009,16.2,5.0,5.8,0.3,2.22,33.0,16.0,6.0,38,0.8,0.4,5.4,4.7,0.09,18.1,0.5,9.0,4.2,0.12,18.9,6.7,8.3,0.09,2.48,32.0,8.3,8.4,48,0.9,0.7,0.6645,1.1,0.952,0.054983333,5.72,2.75,31.33832339324074,1.6403846153846153
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.7,3.9,0.5,15.9,0.4,7.3,2.6,0.009,16.2,5.0,5.8,0.3,2.22,33.0,16.0,6.0,38,0.8,0.4,5.4,4.7,0.09,18.1,0.5,9.0,4.2,0.12,18.9,6.7,8.3,0.09,2.48,32.0,8.3,8.4,48,0.9,0.7,0.7458,1.82325,0.9955,0.07012,3.3813,0.39,47.78189066145766,3.357900807381776
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.7,3.9,0.5,15.9,0.4,7.3,2.6,0.009,16.2,5.0,5.8,0.3,2.22,33.0,16.0,6.0,38,0.8,0.4,5.4,4.7,0.09,18.1,0.5,9.0,4.2,0.12,18.9,6.7,8.3,0.09,2.48,32.0,8.3,8.4,48,0.9,0.7,1.5717,1.462,0.816,0.052921667,5.5146,1.81,35.93039200790498,2.3573677147934573
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.7,3.9,0.5,15.9,0.4,7.3,2.6,0.009,16.2,5.0,5.8,0.3,2.22,33.0,16.0,6.0,38,0.8,0.4,5.4,4.7,0.09,18.1,0.5,9.0,4.2,0.12,18.9,6.7,8.3,0.09,2.48,32.0,8.3,8.4,48,0.9,0.7,2.04,1.5,0.9,0.0682075,5.7,3.0,30.36165027862511,1.426315789473684
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.7,3.9,0.5,15.9,0.4,7.3,2.6,0.009,16.2,5.0,5.8,0.3,2.22,33.0,16.0,6.0,38,0.8,0.4,5.4,4.7,0.09,18.1,0.5,9.0,4.2,0.12,18.9,6.7,8.3,0.09,2.48,32.0,8.3,8.4,48,0.9,0.7,2.03,1.6,0.9,0.109,4.32,0.62,45.22082667353543,3.225462962962963
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35.0,24.0,4.6,25,0.7,0.3,5.6,5.0,0.09,14.8,1.1,14.2,6.0,0.82,20.9,4.3,12.3,0.09,6.41,35.0,9.8,8.2,60,1.1,0.1,0.8205,1.53725,0.7865,0.0823125,3.4,1.2,40.025719762165544,1.6352941176470586
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35.0,24.0,4.6,25,0.7,0.3,5.6,5.0,0.09,14.8,1.1,14.2,6.0,0.82,20.9,4.3,12.3,0.09,6.41,35.0,9.8,8.2,60,1.1,0.1,0.6645,1.1,0.952,0.054983333,5.72,2.75,31.33832339324074,0.9961538461538462
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35.0,24.0,4.6,25,0.7,0.3,5.6,5.0,0.09,14.8,1.1,14.2,6.0,0.82,20.9,4.3,12.3,0.09,6.41,35.0,9.8,8.2,60,1.1,0.1,0.7458,1.82325,0.9955,0.07012,3.3813,0.39,47.78189066145766,2.823298731257209
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35.0,24.0,4.6,25,0.7,0.3,5.6,5.0,0.09,14.8,1.1,14.2,6.0,0.82,20.9,4.3,12.3,0.09,6.41,35.0,9.8,8.2,60,1.1,0.1,1.5717,1.462,0.816,0.052921667,5.5146,1.81,35.93039200790498,1.7589018242483587
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35.0,24.0,4.6,25,0.7,0.3,5.6,5.0,0.09,14.8,1.1,14.2,6.0,0.82,20.9,4.3,12.3,0.09,6.41,35.0,9.8,8.2,60,1.1,0.1,2.04,1.5,0.9,0.0682075,5.7,3.0,30.36165027862511,0.7684210526315791
43908,32.5,10.9,15.5,5.4,1.8,100,75,622,3.4,9.6,0,1.6,36.8,0,89.2,17.5,130,130,1,0,100,100,0.0,0,0,1.5,1.5,0,500,0,500,0,500,0,0,5.1,75,75,0,0,37,37,16,16,0,0,18.8,18.8,18.8,39,2000,2000,0,0,5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35.0,24.0,4.6,25,0.7,0.3,5.6,5.0,0.09,14.8,1.1,14.2,6.0,0.82,20.9,4.3,12.3,0.09,6.41,35.0,9.8,8.2,60,1.1,0.1,2.03,1.6,0.9,0.109,4.32,0.62,45.22082667353543,2.6824074074074074
43908,32.5,10.9,15.5,5.4,1.8,0,90,558,5.5,5.3,0,1.4,0,45.8,90.8,17.8,0,0,4,2,0,0,0.0,0,0,9.2,9.2,1000, NaN,0, NaN,1000, NaN,1000, NaN,4.4,90,90, NaN,0,  NaN,0,18,18,  NaN,0,21,21,21,42,1950,1950,4,4,5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35.0,24.0,4.6,25,0.7,0.3,5.6,5.0,0.09,14.8,1.1,14.2,6.0,0.82,20.9,4.3,12.3,0.09,6.41,35.0,9.8,8.2,60,1.1,0.1,0.8205,1.53725,0.7865,0.0823125,3.4,1.2,2.395038764536701,1.6352941176470586
43908,32.5,10.9,15.5,5.4,1.8,0,90,558,5.5,5.3,0,1.4,0,45.8,90.8,17.8,0,0,4,2,0,0,0.0,0,0,9.2,9.2,1000, NaN,0, NaN,1000, NaN,1000, NaN,4.4,90,90, NaN,0,  NaN,0,18,18,  NaN,0,21,21,21,42,1950,1950,4,4,5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35.0,24.0,4.6,25,0.7,0.3,5.6,5.0,0.09,14.8,1.1,14.2,6.0,0.82,20.9,4.3,12.3,0.09,6.41,35.0,9.8,8.2,60,1.1,0.1,0.6645,1.1,0.952,0.054983333,5.72,2.75,3.9937941844470743,0.9961538461538462
43908,32.5,10.9,15.5,5.4,1.8,0,90,558,5.5,5.3,0,1.4,0,45.8,90.8,17.8,0,0,4,2,0,0,0.0,0,0,9.2,9.2,1000, NaN,0, NaN,1000, NaN,1000, NaN,4.4,90,90, NaN,0,  NaN,0,18,18,  NaN,0,21,21,21,42,1950,1950,4,4,5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35.0,24.0,4.6,25,0.7,0.3,5.6,5.0,0.09,14.8,1.1,14.2,6.0,0.82,20.9,4.3,12.3,0.09,6.41,35.0,9.8,8.2,60,1.1,0.1,0.7458,1.82325,0.9955,0.07012,3.3813,0.39,0.9676582541515049,2.823298731257209
43908,32.5,10.9,15.5,5.4,1.8,0,90,558,5.5,5.3,0,1.4,0,45.8,90.8,17.8,0,0,4,2,0,0,0.0,0,0,9.2,9.2,1000, NaN,0, NaN,1000, NaN,1000, NaN,4.4,90,90, NaN,0,  NaN,0,18,18,  NaN,0,21,21,21,42,1950,1950,4,4,5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35.0,24.0,4.6,25,0.7,0.3,5.6,5.0,0.09,14.8,1.1,14.2,6.0,0.82,20.9,4.3,12.3,0.09,6.41,35.0,9.8,8.2,60,1.1,0.1,1.5717,1.462,0.816,0.052921667,5.5146,1.81,3.1487084677925443,1.7589018242483587
43908,32.5,10.9,15.5,5.4,1.8,0,90,558,5.5,5.3,0,1.4,0,45.8,90.8,17.8,0,0,4,2,0,0,0.0,0,0,9.2,9.2,1000, NaN,0, NaN,1000, NaN,1000, NaN,4.4,90,90, NaN,0,  NaN,0,18,18,  NaN,0,21,21,21,42,1950,1950,4,4,5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35.0,24.0,4.6,25,0.7,0.3,5.6,5.0,0.09,14.8,1.1,14.2,6.0,0.82,20.9,4.3,12.3,0.09,6.41,35.0,9.8,8.2,60,1.1,0.1,2.04,1.5,0.9,0.0682075,5.7,3.0,4.1735328966184095,0.7684210526315791
43908,32.5,10.9,15.5,5.4,1.8,0,90,558,5.5,5.3,0,1.4,0,45.8,90.8,17.8,0,0,4,2,0,0,0.0,0,0,9.2,9.2,1000, NaN,0, NaN,1000, NaN,1000, NaN,4.4,90,90, NaN,0,  NaN,0,18,18,  NaN,0,21,21,21,42,1950,1950,4,4,5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35.0,24.0,4.6,25,0.7,0.3,5.6,5.0,0.09,14.8,1.1,14.2,6.0,0.82,20.9,4.3,12.3,0.09,6.41,35.0,9.8,8.2,60,1.1,0.1,2.03,1.6,0.9,0.109,4.32,0.62,1.438974947617249,2.6824074074074074
43908,32.5,10.9,15.5,5.4,1.8,0,90,558,5.5,5.3,0,1.4,0,45.8,90.8,17.8,0,0,4,2,0,0,0.0,0,0,9.2,9.2,1000, NaN,0, NaN,1000, NaN,1000, NaN,4.4,90,90, NaN,0,  NaN,0,18,18,  NaN,0,21,21,21,42,1950,1950,4,4,6.0,3.7,0.09,12.9,0.3,7.6,3.9,0.009,12.2,6.0,6.8,0.3,3.13,30.0,51.0,6.2,67,1.1,1.0,5.6,4.7,0.09,14.2,0.7,11.2,6.4,0.27,10.9,9.2,12.3,0.09,4.8,31.0,33.0,10.0,116,1.5,2.3,0.8205,1.53725,0.7865,0.0823125,3.4,1.2,2.395038764536701,2.041176470588235
43908,32.5,10.9,15.5,5.4,1.8,0,90,558,5.5,5.3,0,1.4,0,45.8,90.8,17.8,0,0,4,2,0,0,0.0,0,0,9.2,9.2,1000, NaN,0, NaN,1000, NaN,1000, NaN,4.4,90,90, NaN,0,  NaN,0,18,18,  NaN,0,21,21,21,42,1950,1950,4,4,6.0,3.7,0.09,12.9,0.3,7.6,3.9,0.009,12.2,6.0,6.8,0.3,3.13,30.0,51.0,6.2,67,1.1,1.0,5.6,4.7,0.09,14.2,0.7,11.2,6.4,0.27,10.9,9.2,12.3,0.09,4.8,31.0,33.0,10.0,116,1.5,2.3,0.6645,1.1,0.952,0.054983333,5.72,2.75,3.9937941844470743,1.4403846153846156
43908,32.5,10.9,15.5,5.4,1.8,0,90,558,5.5,5.3,0,1.4,0,45.8,90.8,17.8,0,0,4,2,0,0,0.0,0,0,9.2,9.2,1000, NaN,0, NaN,1000, NaN,1000, NaN,4.4,90,90, NaN,0,  NaN,0,18,18,  NaN,0,21,21,21,42,1950,1950,4,4,6.0,3.7,0.09,12.9,0.3,7.6,3.9,0.009,12.2,6.0,6.8,0.3,3.13,30.0,51.0,6.2,67,1.1,1.0,5.6,4.7,0.09,14.2,0.7,11.2,6.4,0.27,10.9,9.2,12.3,0.09,4.8,31.0,33.0,10.0,116,1.5,2.3,0.7458,1.82325,0.9955,0.07012,3.3813,0.39,0.9676582541515049,3.1579008073817763
43908,32.5,10.9,15.5,5.4,1.8,0,90,558,5.5,5.3,0,1.4,0,45.8,90.8,17.8,0,0,4,2,0,0,0.0,0,0,9.2,9.2,1000, NaN,0, NaN,1000, NaN,1000, NaN,4.4,90,90, NaN,0,  NaN,0,18,18,  NaN,0,21,21,21,42,1950,1950,4,4,6.0,3.7,0.09,12.9,0.3,7.6,3.9,0.009,12.2,6.0,6.8,0.3,3.13,30.0,51.0,6.2,67,1.1,1.0,5.6,4.7,0.09,14.2,0.7,11.2,6.4,0.27,10.9,9.2,12.3,0.09,4.8,31.0,33.0,10.0,116,1.5,2.3,1.5717,1.462,0.816,0.052921667,5.5146,1.81,3.1487084677925443,2.157367714793457
43908,32.5,10.9,15.5,5.4,1.8,0,90,558,5.5,5.3,0,1.4,0,45.8,90.8,17.8,0,0,4,2,0,0,0.0,0,0,9.2,9.2,1000, NaN,0, NaN,1000, NaN,1000, NaN,4.4,90,90, NaN,0,  NaN,0,18,18,  NaN,0,21,21,21,42,1950,1950,4,4,6.0,3.7,0.09,12.9,0.3,7.6,3.9,0.009,12.2,6.0,6.8,0.3,3.13,30.0,51.0,6.2,67,1.1,1.0,5.6,4.7,0.09,14.2,0.7,11.2,6.4,0.27,10.9,9.2,12.3,0.09,4.8,31.0,33.0,10.0,116,1.5,2.3,2.04,1.5,0.9,0.0682075,5.7,3.0,4.1735328966184095,1.2263157894736842
